SAC_CD,SAC_Description
999723,Physical well-being services including health club and fitness centre
999729,Other beauty treatment services nowhere else classified
999731,Cemeteries and cremation services
999732,Undertaking services
999791,Services involving commercial use or exploitation of any event
999792,Agreeing to do an act
999793,Agreeing to refrain from doing an act
999794,Agreeing to tolerate an act
999795,Conduct of religious ceremonies or rituals by persons
999799,Other services nowhere else classified
9998,Domestic services
999800,Domestic services both part time and full time
9999,Services provided by extraterritorial organisations and bodies
999900,Services provided by extraterritorial organisations and bodies
996541,Multimodal Transport of goods from a place in India to another place in India
